year,id,age,rank,male,run_count,years_since_run,time_in_secs,prev_year
2013,13914,44,3491,1,2,2,15307,2011
2011,13914,42,786,1,1,2,13743,2009
2009,13914,40,841,1,0,-1,14341,-1
2010,13918,34,770,1,1,1,14516,2009
2009,13918,33,320,1,0,-1,12798,-1
2012,13920,49,1858,1,2,2,16083,2010
2010,13920,57,1569,1,1,1,16684,2009
2014,13920,51,1710,1,3,2,16693,2012
2009,13920,56,960,1,0,-1,14745,-1
2011,13923,46,127,1,1,2,11517,2009
2009,13923,39,2288,1,0,-1,18948,-1
2009,13924,46,1477,1,0,-1,16181,-1
2011,13924,48,3014,1,1,2,19099,2009
2012,13924,49,3347,1,2,1,19784,2011
2012,13928,62,2625,1,2,1,17743,2011
2011,13928,61,2412,1,1,2,17210,2009
2009,13928,59,2371,1,0,-1,19440,-1
2009,13935,42,1562,1,0,-1,16401,-1
2011,13935,44,129,1,1,2,11532,2009
2012,13937,53,2996,1,3,1,18660,2011
2010,13937,51,2372,1,1,1,19347,2009
2009,13937,50,2607,1,0,-1,21123,-1
2011,13937,52,2974,1,2,1,18963,2010
2012,13944,41,2335,1,1,3,17072,2009
2009,13944,38,1266,1,0,-1,15542,-1
2012,13944,44,2909,1,2,0,18430,2012
2010,13951,30,2019,1,1,1,17905,2009
2009,13951,29,1797,1,0,-1,17047,-1
2009,13955,21,2097,1,0,-1,17999,-1
2010,13955,22,2447,1,1,1,19658,2009
2013,13960,31,1277,1,3,1,13635,2012
2012,13960,30,97,1,2,2,11438,2010
2010,13960,28,133,1,1,1,12103,2009
2009,13960,27,315,1,0,-1,12762,-1
2010,13961,56,1023,1,1,1,15341,2009
2009,13961,55,1205,1,0,-1,15395,-1
2012,13961,58,1427,1,3,1,15313,2011
2011,13961,57,1209,1,2,1,14576,2010
2010,13963,34,875,1,1,1,14945,2009
2009,13963,33,1583,1,0,-1,16472,-1
2014,13964,28,1617,1,1,5,16465,2009
2009,13964,23,1691,1,0,-1,16730,-1
2012,13982,47,2042,1,2,1,16454,2011
2009,13982,44,2421,1,0,-1,19677,-1
2011,13982,46,2255,1,1,2,16877,2009
2009,13991,50,443,1,0,-1,13186,-1
2010,13991,51,1491,1,1,1,16484,2009
2010,13992,40,407,1,1,1,13617,2009
2009,13992,39,222,1,0,-1,12420,-1
2009,13998,52,314,1,0,-1,12751,-1
2012,13998,55,756,1,1,3,13939,2009
2011,14010,43,1537,1,2,1,15289,2010
2010,14010,42,2210,1,1,1,18652,2009
2012,14010,44,2565,1,3,1,17593,2011
2009,14010,41,1133,1,0,-1,15208,-1
2009,14012,34,22,1,0,-1,10360,-1
2010,14012,35,32,1,1,1,10806,2009
2011,14013,30,181,1,1,2,11763,2009
2009,14013,28,182,1,0,-1,12223,-1
2009,14019,38,1253,1,0,-1,15518,-1
2010,14019,39,1019,1,1,1,15336,2009
2010,14029,51,2562,1,1,1,20341,2009
2009,14029,50,1976,1,0,-1,17518,-1
2011,14031,44,3063,0,1,2,19326,2009
2009,14031,42,2604,0,0,-1,21112,-1
